trade_id,isin,listing_id,primary_ticker,currency,venue,price,phase,quantity,side,primary_mic,trade_time,bbo_timestamp,best_bid,best_ask,best_bid_min_1s,best_ask_min_1s,bbo_timestamp_min_1s,best_bid_1s,best_ask_1s,bbo_timestamp_1s,mid_price,mid_price_min_1s,mid_price_1s,slippage
288,CH0012005267,323448,NOVN,CHF,XSWX,78.48,CONTINUOUS_TRADING,-26,2,XSWX,2022-09-02 07:11:44.139,2022-09-02 07:11:43.881667000,78.47,78.48,78.46,78.48,2022-09-02 07:11:42.275647000,78.51,78.53,2022-09-02 07:11:45.108482000,78.475,78.47,78.52000000000001,0.0
289,CH0012005267,323448,NOVN,CHF,XSWX,78.58,CONTINUOUS_TRADING,-45,2,XSWX,2022-09-02 07:11:45.361,2022-09-02 07:11:45.358700000,78.58,78.6,78.48,78.5,2022-09-02 07:11:44.162531000,78.59,78.61,2022-09-02 07:11:46.083826000,78.59,78.49000000000001,78.6,1.0
291,CH0012005267,323448,NOVN,CHF,XSWX,78.57,CONTINUOUS_TRADING,-280,2,XSWX,2022-09-02 07:11:51.270,2022-09-02 07:11:50.812839000,78.57,78.58,78.58,78.6,2022-09-02 07:11:50.075557000,78.57,78.59,2022-09-02 07:11:52.259313000,78.57499999999999,78.59,78.58,1.0
290,CH0012005267,323448,NOVN,CHF,XSWX,78.57,CONTINUOUS_TRADING,-148,2,XSWX,2022-09-02 07:11:51.270,2022-09-02 07:11:50.812839000,78.57,78.58,78.58,78.6,2022-09-02 07:11:50.075557000,78.57,78.59,2022-09-02 07:11:52.259313000,78.57499999999999,78.59,78.58,1.0
292,CH0012005267,323448,NOVN,CHF,XSWX,78.57,CONTINUOUS_TRADING,-211,2,XSWX,2022-09-02 07:11:51.550,2022-09-02 07:11:51.517586000,78.57,78.59,78.56,78.58,2022-09-02 07:11:50.530991000,78.57,78.59,2022-09-02 07:11:52.542881000,78.58,78.57,78.58,1.0
329,CH0012032048,323508,ROG,CHF,XSWX,314.65,CONTINUOUS_TRADING,-19,2,XSWX,2022-09-02 07:12:01.038,2022-09-02 07:12:01.033830000,314.55,314.65,314.6,314.65,2022-09-02 07:11:58.457569000,314.6,314.65,2022-09-02 07:12:01.725062000,314.6,314.625,314.625,0.0
330,CH0012032048,323508,ROG,CHF,XSWX,314.6,CONTINUOUS_TRADING,-34,2,XSWX,2022-09-02 07:12:03.048,2022-09-02 07:12:03.046475000,314.55,314.6,314.6,314.65,2022-09-02 07:12:01.725062000,314.55,314.65,2022-09-02 07:12:04.038430000,314.57500000000005,314.625,314.6,0.0
331,CH0012032048,323508,ROG,CHF,XSWX,314.65,CONTINUOUS_TRADING,-11,2,XSWX,2022-09-02 07:12:08.211,2022-09-02 07:12:08.200105000,314.55,314.65,314.5,314.65,2022-09-02 07:12:07.167385000,314.55,314.7,2022-09-02 07:12:09.026965000,314.6,314.575,314.625,0.0
332,CH0012032048,323508,ROG,CHF,XSWX,314.5,CONTINUOUS_TRADING,-1,2,XSWX,2022-09-02 07:12:12.782,2022-09-02 07:12:12.561803000,314.5,314.6,314.55,314.65,2022-09-02 07:12:11.473453000,314.5,314.6,2022-09-02 07:12:13.394397000,314.55,314.6,314.55,1.0
293,CH0012005267,323448,NOVN,CHF,XSWX,78.48,CONTINUOUS_TRADING,-26,2,XSWX,2022-09-02 07:12:17.036,2022-09-02 07:12:17.032371000,78.47,78.48,78.46,78.48,2022-09-02 07:12:15.628832000,78.47,78.49,2022-09-02 07:12:17.933205000,78.475,78.47,78.47999999999999,0.0
333,CH0012032048,323508,ROG,CHF,XSWX,314.6,CONTINUOUS_TRADING,-32,2,XSWX,2022-09-02 07:12:28.955,2022-09-02 07:12:28.943009000,314.5,314.6,314.5,314.6,2022-09-02 07:12:27.093079000,314.6,314.7,2022-09-02 07:12:29.452352000,314.55,314.55,314.65,0.0
294,CH0012005267,323448,NOVN,CHF,XSWX,78.48,CONTINUOUS_TRADING,-52,2,XSWX,2022-09-02 07:12:43.572,2022-09-02 07:12:37.085573000,78.47,78.48,78.47,78.48,2022-09-02 07:12:37.085573000,78.48,78.49,2022-09-02 07:12:44.416226000,78.475,78.475,78.485,0.0
334,CH0012032048,323508,ROG,CHF,XSWX,314.75,CONTINUOUS_TRADING,-1,2,XSWX,2022-09-02 07:12:45.778,2022-09-02 07:12:45.766088000,314.7,314.75,314.7,314.75,2022-09-02 07:12:43.659859000,314.6,314.7,2022-09-02 07:12:46.723177000,314.725,314.725,314.65,0.0
335,CH0012032048,323508,ROG,CHF,XSWX,314.75,CONTINUOUS_TRADING,-6,2,XSWX,2022-09-02 07:12:45.783,2022-09-02 07:12:45.781495000,314.7,314.75,314.7,314.75,2022-09-02 07:12:43.659859000,314.6,314.7,2022-09-02 07:12:46.723177000,314.725,314.725,314.65,0.0
